"Title","Default language","Default text","zh-tw text","Variant status","Placeholder"
"Quick Links","English","Quick Links","","","dc.quick_links"
"Resources","English","Resources","","","dc.resources"
"Related Sites","English","Related Sites","","","dc.related_sites"
"Getting Started","English","Getting Started","","","dc.getting_started"
"No Section in Category","English","No Section in Category","","","dc.no_section_in_category"
"Footer_All Rights Reserved","English","All Rights Reserved","","","dc.all_rights_reserved"
"Still Need Help","English","Still Need Help?","","","dc.still_need_help"
"No Articles in Section","English","No Articles in Section","","","dc.no_articles_in_section"
"Sorry We Searched Far Into Outer Space But Couldnt Find","English","Sorry! We searched far into outer space, but couldn't find","","","dc.sorry_we_searched_far_into_outer_space_but_couldnt_find"
"Avatar","English","Avatar","","","dc.avatar"
"View All","English","View All","","","dc.view_all"
"How Can We Help","English","How can we help?","","","dc.how_can_we_help"
"Administering Liferay Analytics Cloud","English","Administering Liferay Analytics Cloud","","","dc.administering_liferay_analytics_cloud"
"Let us know if you cant find a solution to your issue","English","Let us know if you can't find a solution to your issue.","","","dc.let_us_know_if_you_cant_find_a_solution_to_your_issue"
"Analytics Cloud","English","Analytics Cloud","","","dc.analytics_cloud"
"Submit a Ticket","English","Submit a Ticket","","","dc.submit_a_ticket"
"Products","English","Products","","","dc.products"
"Support","English","Support","","","dc.support"
"Project Details","English","Project Details","","","dc.project_details"
"Help Center","English","Help Center","","","dc.help_center"
"Security","English","Security","","","dc.security"
"Commerce","English","Commerce","","","dc.commerce"
"Portal","English","Portal","","","dc.portal"
"Contact Us","English","Contact Us","","","dc.contact_us"
"Subject Ticket Field - Title","English","Subject","","","dc.subject_ticket_field_-_title"
"We are sorry but you do not have access to submit a support ticket","English","We are sorry, but you do not have access to submit a support ticket.","","","dc.we_are_sorry_but_you_do_not_have_access_to_submit_a_support_ticket"
"Browse by Product","English","Browse by Product","","","dc.browse_by_product"
"DXP Cloud","English","DXP Cloud","","","dc.dxp_cloud"
"Development Guide","English","Development Guide","","","dc.development_guide"
"Analytics Cloud Documentation","English","Analytics Cloud Documentation","","","dc.analytics_cloud_documentation"
"Support Information","English","Support Information","","","dc.support_information"
"Admin Guide","English","Admin Guide","","","dc.admin_guide"
"Knowledge Base","English","Knowledge Base","","","dc.knowledge_base"
"Known Issues","English","Known Issues","","","dc.known_issues"
"Mega Menu_Announcements","English","Announcements","","","dc.mega_menu_announcements"
"Mega Menu::Products","English","Products","","","dc.mega_menu-products"
"Mega Menu::DXP 7.1","English","DXP 7.1","","","dc.mega_menu-dxp_7_1"
"Mega Menu::DXP 7.0","English","DXP 7.0","","","dc.mega_menu-dxp_7_0"
"Mega Menu::Commerce","English","Commerce","","","dc.mega_menu-commerce"
"Mega Menu::Portal 6.2","English","Portal 6.2","","","dc.mega_menu-portal_6_2"
"Mega Menu::Analytics Cloud","English","Analytics Cloud","","","dc.mega_menu-analytics_cloud"
"Mega Menu::DXP Cloud","English","DXP Cloud","","","dc.mega_menu-dxp_cloud"
"Mega Menu::Downloads Description","English","Products, service packs, fix packs, and security fixes","","","dc.mega_menu-downloads_description"
"Mega Menu::Fix Pack Tool","English","Fix Pack Tool","","","dc.mega_menu-fix_pack_tool"
"Mega Menu::Documentation Description","English","Product guides, tutorials, and reference docs","","","dc.mega_menu-documentation_description"
"Mega Menu::Portal 6.1","English","Portal 6.1","","","dc.mega_menu-portal_6_1"
"Mega Menu::Portal 6.0","English","Portal 6.0","","","dc.mega_menu-portal_6_0"
"Mega Menu::Resources","English","Resources","","","dc.mega_menu-resources"
"Mega Menu::Downloads","English","Downloads","","","dc.mega_menu-downloads"
"Mega Menu::Fix Pack Tool Description","English","View highlights and release notes for Liferay DXP fix packs","","","dc.mega_menu-fix_pack_tool_description"
"Mega Menu::Knowledge Base","English","Knowledge Base","","","dc.mega_menu-knowledge_base"
"Mega Menu::Documentation","English","Documentation","","","dc.mega_menu-documentation"
"Mega Menu::Knowledge Base Description","English","A library of articles on recurring topics, issues, and themes","","","dc.mega_menu-knowledge_base_description"
"Mega Menu::Announcements","English","Announcements","","","dc.mega_menu-announcements"
"Mega Menu::Announcements Description","English","Updates on product releases, patches, and system improvements","","","dc.mega_menu-announcements_description"
"Mega Menu::Activation Keys Description","English","Activate your environments to get a project started","","","dc.mega_menu-activation_keys_description"
"Mega Menu::Security Advisories Description","English","Information and fixes for known vulnerabilities","","","dc.mega_menu-security_advisories_description"
"Mega Menu::Security and Disclosure Policy","English","Security and Disclosure Policy","","","dc.mega_menu-security_and_disclosure_policy"
"Mega Menu::Security and Disclosure Policy Description","English","Policy for reported security issues in Liferay products","","","dc.mega_menu-security_and_disclosure_policy_description"
"Mega Menu::Activation Keys","English","Activation Keys","","","dc.mega_menu-activation_keys"
"Mega Menu::Support","English","Support","","","dc.mega_menu-support"
"Mega Menu::Security","English","Security","","","dc.mega_menu-security"
"Mega Menu::Compatibility Matrix Description","English","Supported configurations for Liferay products","","","dc.mega_menu-compatibility_matrix_description"
"Mega Menu::Overview","English","Overview","","","dc.mega_menu-overview"
"Mega Menu::Fix Delivery Method Description","English","How Liferay delivers software updates","","","dc.mega_menu-fix_delivery_method_description"
"Mega Menu::Overview Description","English","Background statement on how Liferay approaches security","","","dc.mega_menu-overview_description"
"Mega Menu::Support Coverage","English","Support Coverage","","","dc.mega_menu-support_coverage"
"Mega Menu::Reporting Security Issues","English","Reporting Security Issues","","","dc.mega_menu-reporting_security_issues"
"Mega Menu::Support Coverage Description","English","Overview of Liferay's support policies","","","dc.mega_menu-support_coverage_description"
"Mega Menu::Reporting Security Issues Description","English","Process for reporting security vulnerabilities on Liferay products","","","dc.mega_menu-reporting_security_issues_description"
"Mega Menu::Support FAQs","English","Support FAQs","","","dc.mega_menu-support_faqs"
"Mega Menu::Security Advisories","English","Security Advisories","","","dc.mega_menu-security_advisories"
"Mega Menu::Support FAQs Description","English","Answers to common support-related questions","","","dc.mega_menu-support_faqs_description"
"Mega Menu::Compatibility Matrix","English","Compatibility Matrix","","","dc.mega_menu-compatibility_matrix"
"Mega Menu::Service Levels","English","Service Levels","","","dc.mega_menu-service_levels"
"Mega Menu::Service Life","English","Service Life","","","dc.mega_menu-service_life"
"Mega Menu::Service Levels Description","English","A summary of benefits included with each subscription level","","","dc.mega_menu-service_levels_description"
"Mega Menu::Service Life Description","English","End of life policies for Liferay products","","","dc.mega_menu-service_life_description"
"Mega Menu::Submit a Ticket","English","Submit a Ticket","","","dc.mega_menu-submit_a_ticket"
"Mega Menu::Fix Delivery Method","English","Fix Delivery Method","","","dc.mega_menu-fix_delivery_method"
"Mega Menu::Contact Us","English","Contact Us","","","dc.mega_menu-contact_us"
"Mega Menu::My Tickets","English","My Tickets","","","dc.mega_menu-my_tickets"
"Homepage::How can we help?","English","How can we help?","","","dc.homepage-how_can_we_help"
"Mega Menu::Project Details","English","Project Details","","","dc.mega_menu-project_details"
"Homepage::Browse by Product","English","Browse by Product","","","dc.homepage-browse_by_product"
"Homepage::Search the Help Center","English","Search the Help Center","","","dc.homepage-search_the_help_center"
"Homepage::Security Updates","English","Security Updates","","","dc.homepage-security_updates"
"Homepage::See More","English","See More","","","dc.homepage-see_more"
"Homepage::Events","English","Events","","","dc.homepage-events"
"Homepage::Portal 5.2","English","Portal 5.2","","","dc.homepage-portal_5_2"
"Homepage::Announcement Subscribe Description","English","Get the latest updates on products, patches, and system improvements.","","","dc.homepage-announcement_subscribe_description"
"Homepage::Product Releases","English","Product Releases","","","dc.homepage-product_releases"
"Homepage::Announcement Subscribe Button","English","Subscribe","","","dc.homepage-announcement_subscribe_button"
"Homepage::Fix Pack Updates","English","Fix Pack Updates","","","dc.homepage-fix_pack_updates"
"Homepage::Still Need Help?","English","Still Need Help?","","","dc.homepage-still_need_help"
"Homepage::Announcement Subscribe Heading","English","Receive Notifications","","","dc.homepage-announcement_subscribe_heading"
"Homepage::Contact Us Description","English","Speak directly with a Liferay Support team member by phone.","","","dc.homepage-contact_us_description"
"Homepage::Submit a Ticket Description","English","Open a support case to report an issue and receive help from a Liferay Support Team member.","","","dc.homepage-submit_a_ticket_description"
"Homepage::Ask the Community","English","Ask the Community","","","dc.homepage-ask_the_community"
"Homepage::Contact Us Asterisk Description","English","*24/7 phone support is available for Platinum Level Critical issues only.","","","dc.homepage-contact_us_asterisk_description"
"Homepage::Liferay University","English","Liferay University","","","dc.homepage-liferay_university"
"Homepage::Ask the Community Description","English","Learn and share knowledge with others in the global Liferay community.","","","dc.homepage-ask_the_community_description"
"Homepage::Liferay University Description","English","Train your team on the essentials of using Liferay with in-depth videos and hands-on exercises designed to mimic in-person training.","","","dc.homepage-liferay_university_description"
"Homepage::Ask the Community Asterisk Description","English","*Please note that information found on the Liferay Community site is not supported and should be implemented at your own discretion.","","","dc.homepage-ask_the_community_asterisk_description"
"Footer::Subscription","English","Subscription","","","dc.footer-subscription"
"Footer::Liferay.com","English","Liferay.com","","","dc.footer-liferay_com"
"Footer::Related Sites","English","Related Sites","","","dc.footer-related_sites"
"Footer::Marketplace","English","Marketplace","","","dc.footer-marketplace"
"7.1::Latest Release Card","English","Latest Release","","","dc.7_1-latest_release_card"
"Footer::All Rights Reserved","English","All Rights Reserved","","","dc.footer-all_rights_reserved"
"7.1::Compatibility Matrix Card Description","English","Learn about the supported configurations for Liferay DXP 7.1.","","","dc.7_1-compatibility_matrix_card_description"
"7.1::Top Resources Tab","English","Top Resources","","","dc.7_1-top_resources_tab"
"7.1::Fix Packs Card","English","Fix Packs","","","dc.7_1-fix_packs_card"
"7.1::Latest Release Card Description","English","Download the latest release of Liferay DXP 7.1.","","","dc.7_1-latest_release_card_description"
"7.1::Fix Packs Card Description","English","Download and install the latest fix pack to ensure you are on the current code base.","","","dc.7_1-fix_packs_card_description"
"7.1::Activation Keys Card Description","English","Activate your Liferay DXP environments to get started on your project.","","","dc.7_1-activation_keys_card_description"
"7.1::Upgrading Card","English","Upgrading","","","dc.7_1-upgrading_card"
"7.1::Upgrading Card Description","English","Reference a collection of resources to assist you with upgrading to Liferay DXP 7.1.","","","dc.7_1-upgrading_card_description"
"7.1::Announcements Card Description","English","Get the latest updates on new releases, patches, and system improvements.","","","dc.7_1-announcements_card_description"
"7.1::Service Packs Archive Card","English","Service Packs Archive","","","dc.7_1-service_packs_archive_card"
"7.1::Security Advisories Card Description","English","Learn more about known security vulnerabilities and fixes for Liferay DXP.","","","dc.7_1-security_advisories_card_description"
"7.1::Service Packs Archive Card Description","English","Access previous service pack releases for Liferay DXP 7.1.","","","dc.7_1-service_packs_archive_card_description"
"7.1::Help Topics Card","English","Help Topics","","","dc.7_1-help_topics_card"
"7.1::Deployment Guide Card","English","Deployment Guide","","","dc.7_1-deployment_guide_card"
"7.1::Deployment Guide Card Description","English","Learn how to deploy, configure, maintain, and monitor your Liferay DXP 7.1 environments.","","","dc.7_1-deployment_guide_card_description"
"7.1::Admin Guide Card","English","Admin Guide","","","dc.7_1-admin_guide_card"
"7.1::Development Tutorials Card","English","Development Tutorials","","","dc.7_1-development_tutorials_card"
"7.1::Development Tutorials Card Description","English","Access tutorials on using Liferay's tools, building modules, developing portlets, and more.","","","dc.7_1-development_tutorials_card_description"
"7.1::Development Reference Card","English","Development Reference","","","dc.7_1-development_reference_card"
"7.1::Development Reference Card Description","English","Access a guide for developers that provides Java APIs and taglibs.","","","dc.7_1-development_reference_card_description"
"7.1::Configuration Reference Card","English","Configuration Reference","","","dc.7_1-configuration_reference_card"
"7.1::Whitepapers Card Description","English","A collection of technical briefs on topics including deployment, upgrading, and performance benchmarks. ","","","dc.7_1-whitepapers_card_description"
"7.1::Fix Delivery Method Card Description","English","Learn how Liferay Support delivers maintenance and emergency updates for Liferay DXP.","","","dc.7_1-fix_delivery_method_card_description"
"7.1::Support Coverage Card Description","English","Reference support policies for all Liferay products.","","","dc.7_1-support_coverage_card_description"
"7.1::Support FAQs Card Description","English","Browse through answers to common support-related questions.","","","dc.7_1-support_faqs_card_description"
"7.1::Components Tab","English","Components","","","dc.7_1-components_tab"
"7.1::Patching Tool Card","English","Patching Tool","","","dc.7_1-patching_tool_card"
"7.1::Liferay Connected Services Card","English","Liferay Connected Services","","","dc.7_1-liferay_connected_services_card"
"7.1::Patching Tool Card Description","English","Download the patching tool to install Liferay DXP 7.1 software updates.","","","dc.7_1-patching_tool_card_description"
"7.1::Mobile Experience Platform Card","English","Mobile Experience Platform","","","dc.7_1-mobile_experience_platform_card"
"7.1::Help Topics Card Description","English","Reference a collection of popular articles organized by topics.","","","dc.7_1-help_topics_card_description"
"7.1::Developer Tools and Frameworks Card","English","Developer Tools and Frameworks","","","dc.7_1-developer_tools_and_frameworks_card"
"7.1::Admin Guide Card Description","English","Learn how to use all the out-of-the-box features in Liferay DXP 7.1.","","","dc.7_1-admin_guide_card_description"
"7.1::Developer Tools and Frameworks Card Description","English","A set of tools and frameworks built specifically for Liferay development.","","","dc.7_1-developer_tools_and_frameworks_card_description"
"7.1::Configuration Reference Card Description","English","Check Liferay definitions and configuration settings to customize your platform.","","","dc.7_1-configuration_reference_card_description"
"7.1::Liferay Sync Card","English","Liferay Sync","","","dc.7_1-liferay_sync_card"
"7.1::Whitepapers Card","English","Whitepapers","","","dc.7_1-whitepapers_card"
"7.1::Liferay Enterprise Search Card Description","English","An add-on subscription for managing enterprise-scale search in your Liferay DXP projects. ","","","dc.7_1-liferay_enterprise_search_card_description"
"7.1::Knowledge Base Card Description","English","Access a library of articles on recurring topics, issues, and themes.","","","dc.7_1-knowledge_base_card_description"
"7.1::Support Information Tab","English","Support Information","","","dc.7_1-support_information_tab"
"7.0::Latest Release Card Description","English","Download the latest release of Liferay DXP 7.0.","","","dc.7_0-latest_release_card_description"
"7.1::Service Life Card Description","English","Reference the end of life policy for Liferay DXP 7.1.","","","dc.7_1-service_life_card_description"
"7.0::Service Packs Archive Card Description","English","Access previous service pack releases for Liferay DXP 7.0.","","","dc.7_0-service_packs_archive_card_description"
"7.1::Service Levels Card Description","English","Learn more about the benefits included with each enterprise subscription level.","","","dc.7_1-service_levels_card_description"
"7.0::Admin Guide Card Description","English","Learn how to use all the out-of-the-box features in Liferay DXP 7.0.","","","dc.7_0-admin_guide_card_description"
"7.1::Liferay Connected Services Card Description","English","A cloud-based management solution for maintaining a Liferay DXP infrastructure. ","","","dc.7_1-liferay_connected_services_card_description"
"7.0::Service Life Card Description","English","Reference the end of life policy for Liferay DXP 7.0.","","","dc.7_0-service_life_card_description"
"7.1::Mobile Experience Platform Card Description","English","Deliver responsive, native or hybrid mobile experiences with one development platform.","","","dc.7_1-mobile_experience_platform_card_description"
"6.2::Page Heading","English","Liferay Portal 6.2","","","dc.6_2-page_heading"
"7.1::Liferay Sync Card Description","English","An enterprise file syncing and sharing service from desktop and mobile devices.","","","dc.7_1-liferay_sync_card_description"
"6.2::Latest Release Card Description","English","Download the latest release of Liferay Portal 6.2.","","","dc.6_2-latest_release_card_description"
"7.1::Liferay Enterprise Search Card","English","Enterprise Search","","","dc.7_1-liferay_enterprise_search_card"
"6.2::Compatibility Matrix Card Description","English","Learn about the supported configurations for Liferay Portal 6.2.","","","dc.6_2-compatibility_matrix_card_description"
"7.0::Compatibility Matrix Card Description","English","Learn about the supported configurations for Liferay DXP 7.0.","","","dc.7_0-compatibility_matrix_card_description"
"6.2::Info Banner","English","Liferay Portal 6.2 EE is now in the Limited Support Phase.","","","dc.6_2_info_banner"
"7.0::Upgrading Card Description","English","Reference a collection of resources to assist you with upgrading to Liferay DXP 7.0.","","","dc.7_0-upgrading_card_description"
"6.2::Security Advisories Card Description","English","Learn more about known security vulnerabilities and fixes for Liferay Portal.","","","dc.6_2-security_advisories_card_description"
"7.0::Patching Tool Card Description","English","Download the patching tool to install Liferay DXP 7.0 software updates.","","","dc.7_0-patching_tool_card_description"
"6.2::Deployment Guide Card Description","English","Learn how to deploy, configure, maintain, and monitor your Liferay Portal 6.2 environments.","","","dc.6_2-deployment_guide_card_description"
"7.0::Deployment Guide Card Description","English","Learn how to deploy, configure, maintain, and monitor your Liferay DXP 7.0 environments.","","","dc.7_0-deployment_guide_card_description"
"6.2::Fix Delivery Method Card Description","English","Learn how Liferay Support delivers maintenance and emergency updates for Liferay Portal.","","","dc.6_2-fix_delivery_method_card_description"
"6.2::Activation Keys Card Description","English","Activate your Liferay Portal environments to get started on your project.","","","dc.6_2-activation_keys_card_description"
"6.2::Liferay Connected Services Card Description","English","A cloud-based management solution for maintaining a Liferay Portal infrastructure. ","","","dc.6_2-liferay_connected_services_card_description"
"6.2::Service Packs Archive Card Description","English","Access previous service pack releases for Liferay Portal 6.2.","","","dc.6_2-service_packs_archive_card_description"
"6.2::Developer Studio Card","English","Developer Studio","","","dc.6_2-developer_studio_card"
"6.2::Patching Tool Card Description","English","Download the patching tool to install Liferay Portal 6.2 software updates.","","","dc.6_2-patching_tool_card_description"
"6.2::Developer Studio Card Description","English","An all-in-one, integrated development environment based on Eclipse.","","","dc.6_2-developer_studio_card_description"
"6.2::Admin Guide Card Description","English","Learn how to use all the out-of-the-box features in Liferay Portal 6.2.","","","dc.6_2-admin_guide_card_description"
"6.2::Liferay Faces Card Description","English","A project that provides support for the JavaServerâ„¢ Faces (JSF) standard within Liferay Portal.","","","dc.6_2-liferay_faces_card_description"
"6.2::Service Life Card Description","English","Reference the end of life policy for Liferay Portal 6.2.","","","dc.6_2-service_life_card_description"
"6.2::Mobile SDK Card Description","English","A framework for building native mobile apps that integrate with your different Liferay Portal instances.","","","dc.6_2-mobile_sdk_card_description"
"6.2::Liferay Faces Card","English","Liferay Faces","","","dc.6_2-liferay_faces_card"
"6.2::Mobile SDK Card","English","Mobile SDK","","","dc.6_2-mobile_sdk_card"
"6.2::Social Office Card Description","English","A workspace solution that enhances the way you and your colleagues work together.","","","dc.6_2_social_office_card_description"
"6.2::Social Office Card","English","Social Office","","","dc.6_2_social_office_card"
"6.1::Info Banner","English","Liferay Portal 6.1 EE is now in the Limited Support Phase.","","","dc.6_1-info_banner"
"6.1::Page Heading","English","Liferay Portal 6.1","","","dc.6_1-page_heading"
"6.1::Latest Release Card Description","English","Download the latest release of Liferay Portal 6.1.","","","dc.6_1-latest_release_card_description"
"6.1::Compatibility Matrix Card Description","English","Learn about the supported configurations for Liferay Portal 6.1.","","","dc.6_1-compatibility_matrix_card_description"
"6.1::Admin Guide Card Description","English","Learn how to use all the out-of-the-box features in Liferay Portal 6.1.","","","dc.6_1-admin_guide_card_description"
"6.1::Service Packs Archive Card Description","English","Access previous service pack releases for Liferay Portal 6.1.","","","dc.6_1-service_packs_archive_card_description"
"6.1::Patching Tool Card Description","English","Download the patching tool to install Liferay Portal 6.1 software updates.","","","dc.6_1-patching_tool_card_description"
"6.1::Deployment Guide Card Description","English","Learn how to deploy, configure, maintain, and monitor your Liferay Portal 6.1 environments.","","","dc.6_1-deployment_guide_card_description"
"6.1::Service Life Card Description","English","Reference the end of life policy for Liferay Portal 6.1.","","","dc.6_1-service_life_card_description"
"Commerce::Latest Release Card Description","English","Download and install the latest version of Liferay Commerce. ","","","dc.commerce-latest_release_card_description"
"Commerce::Service Life Description","English","Reference the end of life policy for Liferay Commerce.","","","dc.commerce-service_life_description"
"Commerce::Admin Guide Card Description","English","Learn how to use all the features in Liferay Commerce.","","","dc.commerce-admin_guide_card_description"
"Analytics Cloud::Getting Started Card","English","Getting Started","","","dc.analytics_cloud-getting_started_card"
"Commerce::Compatibility Matrix Card Description","English","Learn about supported configurations for Liferay Commerce.","","","dc.commerce-compatibility_matrix_card_description"
"Analytics Cloud::Feature Requests Card","English","Feature Requests","","","dc.analytics_cloud-feature_requests_card"
"Commerce::Support Coverage Card Description","English","Learn more about support coverage for Liferay Commerce.","","","dc.commerce-support_coverage_card_description"
"Analytics Cloud::Feature Requests Card Description","English","Reference a list of feature requests and their current status.","","","dc.analytics_cloud-feature_requests_card_description"
"7.0::Page Heading","English","Liferay Digital Experience Platform 7.0","","","dc.7_0-page_heading"
"Analytics Cloud: Admin Guide Card Description","English","Learn how to use all the features in Liferay Analytics Cloud.","","","dc.analytics_cloud_admin_guide_card_description"
"Analytics Cloud::Getting Started Card Description","English","Learn how to start adding and managing your data sources for Liferay Analytics Cloud.","","","dc.analytics_cloud-getting_started_card_description"
"DXP Cloud::Admin Guide Card Description","English","Learn how to use all the features in Liferay DXP Cloud.","","","dc.dxp_cloud-admin_guide_card_description"
"Analytics Cloud::Known Issues Card Description","English","Reference existing known issues that have been documented for Liferay Analytics Cloud.","","","dc.analytics_cloud-known_issues_card_description"
"6.0::Page Heading","English","Liferay Portal 6.0","","","dc.6_0-page_heading"
"Analytics Cloud::Support Coverage Card Description","English","Learn more about support coverage for Liferay Analytics Cloud.","","","dc.analytics_cloud-support_coverage_card_description"
"6.0::Compatibility Matrix Card Description","English","Learn about the supported configurations for Liferay Portal 6.0.","","","dc.6_0-compatibility_matrix_card_description"
"DXP Cloud::Page Heading","English","Liferay DXP Cloud ","","","dc.dxp_cloud-page_heading"
"6.0::Downloads Card Description","English","Download the archived service packs and fix packs for Liferay Portal 6.0.","","","dc.6_0-downloads_card_description"
"5.2::Page Heading","English","Liferay Portal 5.2","","","dc.5_2-page_heading"
"DXP Cloud::Support Coverage Card Description","English","Learn more about support coverage for Liferay DXP Cloud.","","","dc.dxp_cloud-support_coverage_card_description"
"5.2::Compatibility Matrix Card Description","English","Learn about the supported configurations for Liferay Portal 5.2.","","","dc.5_2-compatibility_matrix_card_description"
"6.0::Info Banner","English","Support for Liferay Portal 6.0 has ended.","","","dc.6_0-info_banner"
"5.2::Documentation Card Description","English","Reference the admin guide and whitepapers for Liferay Portal 5.2.","","","dc.5_2-documentation_card_description"
"6.0::Documentation Card Description","English","Reference the admin guide and whitepapers for Liferay Portal 6.0.","","","dc.6_0-documentation_card_description"
"7.1::Page Heading","English","Liferay Digital Experience Platform 7.1","","","dc.7_1-page_heading"
"5.2::Info Banner","English","Support for Liferay Portal 5.2 has ended.","","","dc.5_2-info_banner"
"5.2::Downloads Card Description","English","Download the archived service packs and fix packs for Liferay Portal 5.2.","","","dc.5_2-downloads_card_description"
"Documentation::DXP Components Heading","English","DXP Components","","","dc.documentation-dxp_components_heading"
"Documentation::Portal 5.2","English","Portal 5.2","","","dc.documentation-portal_5_2"
"Homepage::Liferay Global Services Description","English","Gain extensive product and development knowledge from experts to maximize your ROI.","","","dc.homepage-liferay_global_services_description"
"Analytics Cloud::Page Heading","English","Liferay Analytics Cloud","","","dc.analytics_cloud-page_heading"
"Homepage::Learn More","English","Learn More","","","dc.homepage-learn_more"
"Homepage::Liferay Global Services","English","Liferay Global Services","","","dc.homepage-liferay_global_services"
"Footer::Contact Us","English","Contact Us","","","dc.footer-contact_us"
"Analytics Cloud::Known Issues Card","English","Known Issues","","","dc.analytics_cloud-known_issues_card"
